BatchNorm2d,50,256,65,65,0,1.0816e+06,0,3.2448e+06,1.0816e+06,4.3264e+06,5.408e+06,4.3264e+06,3.62978e-07,236952,0,18.2586,422.501,
Block,51,256,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,
ReLU,52,256,65,65,0,0,1.0816e+06,0,0,4.3264e+06,1.0816e+06,4.3264e+06,7.25955e-08,47390.3,0,91.2929,0,
ReLU,53,256,65,65,0,0,1.0816e+06,0,0,4.3264e+06,1.0816e+06,4.3264e+06,7.25955e-08,47390.3,0,91.2929,0,
Conv2d,54,256,65,65,589824,2.49201e+09,0,2.49201e+09,0,4.3264e+06,2.87453e+12,6.6857e+06,2.49201e+09,1.62678e+21,1.45028e-15,4.10977e-15,973440,
BatchNorm2d,55,256,65,65,0,1.0816e+06,0,3.2448e+06,1.0816e+06,4.3264e+06,5.408e+06,4.3264e+06,3.62978e-07,236952,0,18.2586,422.501,
Conv2d,56,728,65,65,1.67731e+06,7.08664e+09,0,7.08664e+09,0,1.23032e+07,8.17444e+12,1.90124e+07,7.08664e+09,4.62616e+21,1.45028e-15,4.10977e-15,2.76822e+06,
SeparableConv2d,57,728,65,65,5.29984e+06,2.23918e+10,0,2.23918e+10,0,1.23032e+07,4.47836e+10,3.35026e+07,2.23918e+10,1.46174e+22,1.45028e-15,2.29197e-15,2070.25,
BatchNorm2d,58,728,65,65,0,3.0758e+06,0,9.2274e+06,3.0758e+06,1.23032e+07,1.5379e+07,1.23032e+07,1.03222e-06,673831,0,18.2586,1201.49,
ReLU,59,728,65,65,0,0,3.0758e+06,0,0,1.23032e+07,3.0758e+06,1.23032e+07,2.06443e-07,134766,0,91.2929,0,
ReLU,60,728,65,65,0,0,3.0758e+06,0,0,1.23032e+07,3.0758e+06,1.23032e+07,2.06443e-07,134766,0,91.2929,0,
Conv2d,61,728,65,65,4.76986e+06,2.01526e+10,0,2.01526e+10,0,1.23032e+07,6.60503e+13,3.13826e+07,2.01526e+10,1.31556e+22,1.45028e-15,2.38549e-15,7.87213e+06,
BatchNorm2d,62,728,65,65,0,3.0758e+06,0,9.2274e+06,3.0758e+06,1.23032e+07,1.5379e+07,1.23032e+07,1.03222e-06,673831,0,18.2586,1201.49,
Conv2d,63,728,65,65,4.76986e+06,2.01526e+10,0,2.01526e+10,0,1.23032e+07,6.60503e+13,3.13826e+07,2.01526e+10,1.31556e+22,1.45028e-15,2.38549e-15,7.87213e+06,
SeparableConv2d,64,728,65,65,5.29984e+06,2.23918e+10,0,2.23918e+10,0,1.23032e+07,4.47836e+10,3.35026e+07,2.23918e+10,1.46174e+22,1.45028e-15,2.29197e-15,2070.25,
BatchNorm2d,65,728,65,65,0,3.0758e+06,0,9.2274e+06,3.0758e+06,1.23032e+07,1.5379e+07,1.23032e+07,1.03222e-06,673831,0,18.2586,1201.49,
ReLU,66,728,65,65,0,0,3.0758e+06,0,0,1.23032e+07,3.0758e+06,1.23032e+07,2.06443e-07,134766,0,91.2929,0,
ReLU,67,728,65,65,0,0,3.0758e+06,0,0,1.23032e+07,3.0758e+06,1.23032e+07,2.06443e-07,134766,0,91.2929,0,
Conv2d,68,728,33,33,4.76986e+06,5.19437e+09,0,5.19437e+09,0,3.17117e+06,1.70246e+13,2.22506e+07,5.19437e+09,3.39089e+21,5.62668e-15,6.56188e-15,2.02905e+06,
BatchNorm2d,69,728,33,33,0,792794,0,2.37838e+06,792792,3.17117e+06,3.96396e+06,3.17117e+06,2.66056e-07,173681,0,18.2586,309.685,
Conv2d,70,728,33,33,4.76986e+06,5.19437e+09,0,5.19437e+09,0,3.17117e+06,1.70246e+13,2.22506e+07,5.19437e+09,3.39089e+21,5.62668e-15,6.56188e-15,2.02905e+06,
SeparableConv2d,71,728,33,33,5.29984e+06,5.77153e+09,0,5.77153e+09,0,3.17117e+06,1.15431e+10,2.43705e+07,5.77153e+09,3.76765e+21,5.62668e-15,6.46836e-15,2070.25,
BatchNorm2d,72,728,33,33,0,792794,0,2.37838e+06,792792,3.17117e+06,3.96396e+06,3.17117e+06,2.66056e-07,173681,0,18.2586,309.685,
Conv2d,73,728,33,33,4.76986e+06,5.19437e+09,0,5.19437e+09,0,3.17117e+06,1.70246e+13,2.22506e+07,5.19437e+09,3.39089e+21,5.62668e-15,6.56188e-15,2.02905e+06,
BatchNorm2d,74,728,33,33,0,792794,0,2.37838e+06,792792,3.17117e+06,3.96396e+06,3.17117e+06,2.66056e-07,173681,0,18.2586,309.685,
Block,75,728,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,
ReLU,76,728,33,33,0,0,792792,0,0,3.17117e+06,792792,3.17117e+06,5.32111e-08,34736.2,0,91.2929,0,
ReLU,77,728,33,33,0,0,792792,0,0,3.17117e+06,792792,3.17117e+06,5.32111e-08,34736.2,0,91.2929,0,
Conv2d,78,728,33,33,4.76986e+06,5.19437e+09,0,5.19437e+09,0,3.17117e+06,1.70246e+13,2.22506e+07,5.19437e+09,3.39089e+21,5.62668e-15,6.56188e-15,2.02905e+06,
